,Product Name,Images,Description,Original Price,Discounts,Discounted Price,Reviews
30,ZEBRONICS Pro Series Y Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 2S Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/p/n/-original-imagxqetzpemafuw.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (11th Gen)', 'RAM': '8 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹48,999",45% off,"₹26,490",3.8
31,ASUS Vivobook Go 15 OLED (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504F...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/k/k/-original-imagpxgru35rbzwz.jpeg?q=70,"{'Processor': 'AMD Ryzen 3 Quad Core Processor', 'RAM': '8 GB LPDDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹61,990",32% off,"₹41,990",4.4
32,Infinix X3 Slim (2024) Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin an...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/b/q/xl422-thin-and-light-laptop-infinix-original-imah3fhfuxchhfpz.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '16 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '35.56 cm (14 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹64,990",36% off,"₹41,558",4.1
33,SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XFG-KA2IN ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/e/f/-original-imahfu5n4hjfjejw.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (13th Gen)', 'RAM': '16 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹62,999",49% off,"₹99,990",4.3
34,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/e/g/-original-imagxqetsqyqgfah.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '16 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹45,438",15% off,"₹31,990",3.8
35,HP 15s (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Lig...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/j/q/-original-imagreh7af3ah7zw.jpeg?q=70,"{'Processor': 'AMD Ryzen 3 Quad Core Processor', 'RAM': '8 GB LPDDR5 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹1,16,990",18% off,"₹38,490",4.3
36,ASUS Vivobook S 15 OLED Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Pro) S5504VA-MA94...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/r/m/-original-imah3gugnhrgscky.jpeg?q=70,"{'Processor': 'Intel Core i9 Processor (13th Gen)', 'RAM': '16 GB LPDDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹1,16,990",18% off,"₹94,990",4.5
37,ASUS Vivobook S 15 OLED Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Pro) S5504VA-MA94...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/n/j/-original-imah3gugbewpkhyh.jpeg?q=70,"{'Processor': 'Intel Core i9 Processor (13th Gen)', 'RAM': '16 GB LPDDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹60,999",50% off,"₹94,990",4.5
38,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/f/3/-original-imagxqetw36djabs.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹47,876",26% off,"₹29,990",3.8
39,DELL Vostro Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3520 Thin and Ligh...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/l/h/vostro-3520-thin-and-light-laptop-dell-original-imah3chqs44dvvxb.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': '64 bit Windows 11 Home Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': 'Office Home & Student 2021'}","₹1,49,900",56% off,"₹34,990",3.9
